treated,FM_damage,N_fsa,N_active_avg,N_active_sd,ml_bal_ins_avg,ml_bal_ins_sd,ml_ins_rt_avg,ml_ins_rt_sd,bc_use_avg,bc_use_sd,nearprime_rt_avg,nearprime_rt_sd,subprime_rt_avg,subprime_rt_sd
1,0,1,53441.91836734694,1738.36541800929,455937.945287028,4836.082804736508,0.7795290746311545,0.011154757953104017,0.3377124043877134,0.014990991604128505,0.2039219994847305,0.006680242972072554,0.06007491446132066,0.007933401721606516
1,1,1,6549.0,1103.0685797658577,447428.61061920086,9577.185807855993,0.7393359954291523,0.021070375966362468,0.34777628854574333,0.018463022638762216,0.2065578406734256,0.014127518570849958,0.060747932793088474,0.005870486466761043
0,0,126,21918.884515711045,11039.03431707674,250250.0973474398,43892.96437734002,0.6553895004825815,0.08011423938684874,0.29517357470637773,0.042479188642685836,0.1683925008782876,0.03691607220360023,0.05797474965822064,0.0192293281768169
